DM	left_comp	right_comp	left_smiles	right_smiles
DM27	flunitrazepam // NADPH	7-aminoflunitrazepam // NADP+	CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	CN1C(=O)CN=C(C2=C1C=CC(=C2)N)C3=CC=CC=C3F.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
DM28	olsalazine // proton // NADH	5-ASA // 5-asa // NAD+	OC1=C(C=C(C=C1)N=NC1=CC(C([O-])=O)=C(O)C=C1)C([O-])=O.[H+].C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5))	NC1=CC(C([O-])=O)=C(O)C=C1.NC1=CC(C([O-])=O)=C(O)C=C1.C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
DM29	prontosil // proton // NADH	sulfanilamide // triaminobenzene // NAD+	NC1=CC(N)=C(C=C1)N=NC1=CC=C(C=C1)S(N)(=O)=O.[H+].C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5))	C1=CC(=CC=C1N)S(=O)(=O)N.NC1=CC=CC(N)=C1N.C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
DM30	SN38-g // water	SN38 // glucuronic acid	CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C([O-])=O)C=C12.O	CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(O)C=C12.[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
DM31	sorivudine	bromovinyluracil	OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O	Br\C=C\C1=CNC(=O)NC1=O
DM32	sulfasalazine // proton // NADH	sulfapyridine // 5-asa // NADP+	OC1=C(C=C(C=C1)N=NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=CC=CC=N1)C([O-])=O.[H+].C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5))	NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=CC=CC=N1.NC1=CC(C([O-])=O)=C(O)C=C1.C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
DM33	trifluridine // dihydrogen phosphate	triflourothymine // deoxy	C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O.OP(=O)(O)[O-]	C1=C(C(=O)NC(=O)N1)C(F)(F)F.OC[C@@H]1[C@@H](O)CC(OP(O)(O)=O)O1
DM34	methotrexate	DAMPA // Glutamate	CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)O.C(CC(=O)O)[C@@H](C(=O)O)N
DM35	methotrexate	6-MPDA // n-methyl aniline // Glutamate	CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O	CC1=CN=C2C(=N1)C(=NC(=N2)N)N.CNC1=CC=CC=C1.C(CC(=O)O)[C@@H](C(=O)O)N
DM36	methotrexate	6-MPDA // CID 97636	CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O	CC1=CN=C2C(=N1)C(=NC(=N2)N)N.CNC1=CC=C(C=C1)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]
