DM	left_comp	right_comp	left_smiles	right_smiles
DM78	5-nitroso	N-2-hydroxyethyloxamate // acetamide	CC1=NC=C(N=C)N1CCO.[O]	OCCNC(C(O)=O)=O.CC(N)=O
DM79	Metronidazole	an aminoimidazole	CC1=NC=C(N1CCO)[N+](=O)[O-]	CC1=NC=C(N)N1CCO
DM80	misonidazole	2-Amino-alpha-(methoxymethyl)-1H-imidazole-1-ethanol	COCC(CN1C=CN=C1[N+](=O)[O-])O	COCC(CN1C=CN=C1N)O
DM81	misoprostol	misoprostol acid	CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)OC)O)O	CCCCC(C/C=C/[C@H]1[C@H](O)CC([C@@H]1CCCCCCC(O)=O)=O)(O)C
DM82	mycophenolate mofetil	mycophenolic acid	CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O	CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O
DM83	Nabumetone	nabumetone alcohol	CC(CCC1=CC2=C(C=C(OC)C=C2)C=C1)=O	CC(CCC1=CC2=C(C=C(OC)C=C2)C=C1)O
DM84	Nicardipine·HCl	aminonicardipine	CC1=C(C(OC)=O)C(C2=CC([N+]([O-])=O)=CC=C2)C(C(OCCN(CC3=CC=CC=C3)C)=O)=C(C)N1	CC1=C(C(OC)=O)C(C2=CC([NH3+])=CC=C2)C(C(OCCN(CC3=CC=CC=C3)C)=O)=C(C)N1
DM85	Nilutamide	aminonilutamide	CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C	CC1(C)C(N(C2=CC(C(F)(F)F)=C([NH3+])C=C2)C(N1)=O)=O
DM86	Nimodipine	aminonimodipine	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC	CC1=C(C(OCCOC)=O)C(C2=CC([NH3+])=CC=C2)C(C(OC(C)C)=O)=C(C)N1
DM87	nizatidine	hydroxyiminonizatidine	CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)CN(C)C	CNC(/C=N/O)=N\CCSCC1=CSC(CN(C)C)=N1
DM88	omeprazole	ufiprazole	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OCCC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC	CC1=CN=C(CSC2=NC3=C(C=C(OC)C=C3)N2)C(C)=C1OC
DM89	Paliperidone	hydrolysis metabolite	CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F.O	CC1=C(CCN2CCC(C(C(C=CC(F)=C3)=C3O)=O)CC2)C(N4CCCC(O)C4=N1)=O
DM90	Pantoprazole	pantoprazole sulfide	COC1=C(OC)C(CS(C2=NC3=C(C=C(OC(F)F)C=C3)N2)=O)=NC=C1	COC1=C(OC)C(CSC2=NC3=C(C=C(OC(F)F)C=C3)N2)=NC=C1
DM91	pericyazine // acetyl-CoA	acetylpericyazine // coenzyme A	C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N.CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	N#CC(C=C1)=CC2=C1SC3=CC=CC=C3N2CCCN4CCC(OC(C)=O)CC4.CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
DM92	pericyazine // propionyl-CoA	propionylpericyazine // coenzyme A	C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N.CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	N#CC(C=C1)=CC2=C1SC3=CC=CC=C3N2CCCN4CCC(OC(CC)=O)CC4.CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
DM93	phenacetin	p-phenetidine	CCOC1=CC=C(C=C1)NC(=O)C	CCOC1=CC=C(N)C=C1
DM94	potassium oxonate	cyanuric acid	C1(=NC(=O)NC(=O)N1)C(=O)[O-].[K+]	C1(=O)NC(=O)NC(=O)N1
DM95	prednisolone	prednisolone-desmo	C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(C=C[C@]34C)=O)[C@@H]1CCC2=O
DM96	prednisone	prednisone-desmo	C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C	C[C@]12CC([C@H]3[C@@H](CCC4=CC(C=C[C@]34C)=O)[C@@H]1CCC2=O)=O
DM97	8-prenylnaringenin	O-desmethylxanthohumol	CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C[C@H](O2)C3=CC=C(C=C3)O)C	C/C(C)=C\CC1=C(O)C(C(/C=C/C2=CC=C(O)C=C2)=O)=C(O)C=C1O
DM98	primaquine	propionyl-N-primaquine	CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2	CC(NC1=C2C(C=CC=N2)=CC(OC)=C1)CCCNC(CC)=O
DM99	Progesterone	reduction product	CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C	CC([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]3[C@H]2CCC4CC(CC[C@]34C)=O)=O
DM100	ranitidine	hydroxyiminoranitidine	CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C	CNC(/C=N/O)=N\CCSCC1=CC=C(CN(C)C)O1
DM101	risperidone	hydrolysis metabolite	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F.O	CC1=C(CCN2CCC(C(C(C=CC(F)=C3)=C3O)=O)CC2)C(N4CCCCC4=N1)=O
DM102	simvastatin	simvastatin acid	CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C	CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)C
DM103	spironolactone	7a-thiospironolactone	CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C	S[C@@H]1CC2=CC(CC[C@]2(C)[C@@H]3[C@@H]1[C@@H]4CC[C@@]5(CCC(O5)=O)[C@@]4(C)CC3)=O
DM104	succinylsulfathiazole	succinate // sulfathiazole	C1=CC(=CC=C1NC(=O)CCC(=O)O)S(=O)(=O)NC2=NC=CS2	C(CC(=O)[O-])C(=O)[O-].C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2
DM105	sulfapyridine // acetyl-coA	acetylated sulfapyridine // CoA	C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N.CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=N2.CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
DM106	sulfinpyrazone // NAD(P)H // H+	deoxysulfinpyrazone // NAD(P)	C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]	C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCSC4=CC=CC=C4.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
DM107	sulindac // NAD(P)H // H+	sulindac sulfide // NAD(P)	CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]	CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)SC)C=CC(=C2)F)CC(=O)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
DM108	tenofovir	adenine	C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O	C1=NC2=NC=NC(=C2N1)N
DM109	tolcapone	N-acetylamino-tolcapone	CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]	CC1=CC=C(C(C2=CC(NC(C)=O)=C(O)C(O)=C2)=O)C=C1
DM110	ursodiol	lithocholic acid	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C
DM111	Vorinostat	n-phenylsuberamide	C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO	O=C(CCCCCCC(N)=O)NC1=CC=CC=C1
DM112	zonisamide	2-Sulfamoylacetylphenol	C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N	O=C(CS(=O)(N)=O)C1=CC=CC=C1O
DM113	capecitabine // water	5DFCR // carboxylate	CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O.O	C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=NC2=O)N)F)O)O.CCCCCC(=O)[O-]
DM114	5DFCR // water	5DFUR // ammonium	C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=NC2=O)N)F)O)O.O.[H+]	C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O.[NH4+]
DM115	5DFUR // phosphate	5-FU // 5deoxyribose1phosphate	C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O.[O-]P(=O)([O-])[O-]	C1=C(C(=O)NC(=O)N1)F.C[C@@H]1[C@H]([C@H](C(O1)OP(=O)(O)O)O)O
DM116	altretamine // dioxygen // water	pentamethylmelamine // formaldehyde // hydrogen peroxide	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.O=O.O	CNC1=NC(=NC(=N1)N(C)C)N(C)C.C=O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.OO
DM117	cycasin	Azoxymethane // glucose	C/[N+](=N/CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/[O-]	CN=[N+](C)[O-].C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
DM118	quercetin-3-glucoside	quercetin // glucose	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
DM119	ginsenoside Rb1 // water	ginsenoside Rd // beta-d-glucose	CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O)C.O	CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C.C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
DM120	amlodipine	metabolite	CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN	CCOC(C1=C(COCCN)C=C(C)C(C(OC)=O)=C1C2=CC=CC=C2Cl)=O
DM121	benzylpenicillin	benzylpenicilloic acid	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C	CC1(C(NC(S1)C(C(=O)O)NC(=O)CC2=CC=CC=C2)C(=O)O)C
DM122	bromazepam	2-(2-amino-5-bromobenzoyl) pyridine	C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3	C1=CC=NC(=C1)C(=O)C2=C(C=CC(=C2)Br)N
DM123	doxorubicin	7-deoxydoxorubicinol	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O	COC1=CC=CC2=C1C(=O)C3=C(C4=C(C[C@](CC4)([C@H](CO)O)O)C(=C3C2=O)O)O
DM124	doxorubicin	7-deoxydoxorubicinolone	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O	COC1=CC=CC2=C1C(=O)C3=C(C4=C(CC(CC4)(C(CO)O)O)C(=C3C2=O)O)O
DM125	epacadostat	M11	C1=CC(=C(C=C1N=C(C2=NON=C2NCCNS(=O)(=O)N)NO)Br)F	C1=CC(=C(C=C1N=C(C2=NON=C2NCCNS(=O)(=O)N)N)Br)F
DM126	Ethacrynic Acid	Dihydroethacrynate	CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl	CCC(C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
DM127	fostamatinib	met	CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C	CC1(C)C(NC2=C(C=CC(NC3=NC(NC4=CC(O)=CC(O)=C4)=NC=C3F)=N2)O1)=O
DM128	glycyrrhizin	glycyrrhetic acid	C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O	C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O
DM129	ingenol disoxate	16-hydroxyl-Ingenol disoxate	CCC1=C(C(=NO1)CC)C(=O)O[C@H]2C(=C[C@@]34[C@@]2([C@@H](C(=C[C@H](C3=O)[C@H]5[C@H](C5(C)C)C[C@H]4C)CO)O)O)C	CCC1=C(C(O[C@H]2C(C)=C[C@@]34[C@]2(O)[C@H](O)C(CO)=C[C@@H]([C@H]5[C@@H](C[C@H]4C)C5(CO)C)C3=O)=O)C(CC)=NO1
DM130	ruxolitnib	2-hydroxy ruxolotinib	C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	N#CC[C@@H](N1C=C(C2=C3C=CNC3=NC=N2)C=N1)C4CCCC4O
DM131	ruxolitnib	3-hydroxy ruxolotinib	C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	N#CC[C@@H](N1C=C(C2=C3C=CNC3=NC=N2)C=N1)C4CCC(O)C4
DM132	samotolisib	M4	C[C@@H](CN1C2=C3C=C(C=CC3=NC=C2N(C1=O)C)C4=CC(=CN=C4)C(C)(C)O)OC	C[C@H](OC)CN1C2=C3C=C(C4=CC(C(C)(O)C)=C[N+]([O-])=C4)C=CC3=NC=C2N(C)C1=O
DM133	tacrolimus	met	C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC	C[C@@H]1C[C@H](OC)[C@@H]2[C@@H](OC)C[C@@H](C)[C@@](C(C(N3CCCC[C@H]3C(O[C@H](/C(C)=C/[C@@H]4CC[C@@H](O)[C@H](OC)C4)[C@H](C)[C@@H](O)CC([C@H](CC=C)/C=C(C)/C1)=O)=O)=O)O)(O)O2
DM134	ezetimibe glucuronide	ezetimibe	C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O.O	C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O.[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
