bigg_id	mnx_id	smiles	formula	charge
ileasnhis	MNXM744755	CCC(C)[C@@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](CC1=CNC=N1)C(=O)O	C16H26N6O5	0.0
biggM:M_ileasnhis	MNXM744755	CCC(C)[C@@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](CC1=CNC=N1)C(=O)O	C16H26N6O5	0.0
biggM:ileasnhis	MNXM744755	CCC(C)[C@@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](CC1=CNC=N1)C(=O)O	C16H26N6O5	0.0
ileasp	MNXM744756	CCC(C)[C@@H](N)C(=O)N[C@@H](CC(=O)[O-])C(=O)O	C10H17N2O5	-1.0
biggM:M_ileasp	MNXM744756	CCC(C)[C@@H](N)C(=O)N[C@@H](CC(=O)[O-])C(=O)O	C10H17N2O5	-1.0
biggM:ileasp	MNXM744756	CCC(C)[C@@H](N)C(=O)N[C@@H](CC(=O)[O-])C(=O)O	C10H17N2O5	-1.0
ileglnglu	MNXM744757	CCC(C)[C@@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](CCC(=O)[O-])C(=O)O	C16H27N4O7	-1.0
biggM:M_ileglnglu	MNXM744757	CCC(C)[C@@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](CCC(=O)[O-])C(=O)O	C16H27N4O7	-1.0
biggM:ileglnglu	MNXM744757	CCC(C)[C@@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](CCC(=O)[O-])C(=O)O	C16H27N4O7	-1.0
ileglyarg	MNXM744758	CCC(C)[C@@H](N)C(=O)NCC(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O	C14H29N6O4	1.0
biggM:M_ileglyarg	MNXM744758	CCC(C)[C@@H](N)C(=O)NCC(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O	C14H29N6O4	1.0
biggM:ileglyarg	MNXM744758	CCC(C)[C@@H](N)C(=O)NCC(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O	C14H29N6O4	1.0
ileprolys	MNXM744759	CCC(C)[C@@H](N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCC[NH3+])C(=O)O	C17H33N4O4	1.0
biggM:M_ileprolys	MNXM744759	CCC(C)[C@@H](N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCC[NH3+])C(=O)O	C17H33N4O4	1.0
biggM:ileprolys	MNXM744759	CCC(C)[C@@H](N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCC[NH3+])C(=O)O	C17H33N4O4	1.0
ileserarg	MNXM744760	CCC(C)[C@@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O	C15H31N6O5	1.0
