bigg_id	mnx_id	smiles	formula	charge
biggM:protrpthr	MNXM744863	C[C@@H](O)[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@@H]1CCCN1)C(=O)O	C20H26N4O5	0.0
provalgln	MNXM744864	CC(C)[C@H](NC(=O)C1CCCN1)C(=O)N[C@H](CCC(N)=O)C(=O)O	C15H26N4O5	0.0
biggM:M_provalgln	MNXM744864	CC(C)[C@H](NC(=O)C1CCCN1)C(=O)N[C@H](CCC(N)=O)C(=O)O	C15H26N4O5	0.0
biggM:provalgln	MNXM744864	CC(C)[C@H](NC(=O)C1CCCN1)C(=O)N[C@H](CCC(N)=O)C(=O)O	C15H26N4O5	0.0
ptvst	MNXM744865	O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.[Ca+2]	C50H46CaF2N2O8	0.0
biggM:M_ptvst	MNXM744865	O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.[Ca+2]	C50H46CaF2N2O8	0.0
biggM:ptvst	MNXM744865	O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.[Ca+2]	C50H46CaF2N2O8	0.0
ptvstgluc	MNXM744866	O=C(CC(O)CC(O)/C=C/C1=C(C2=CC=C(F)C=C2)C2=CC=CC=C2N=C1C1CC1)OC1OC(C(=O)O[Ca]OC(=O)C2OC(OC(=O)CC(O)CC(O)/C=C/C3=C(C4=CC=C(F)C=C4)C4=CC=CC=C4N=C3C3CC3)C(O)C(O)C2O)C(O)C(O)C1O	C62H62CaF2N2O20	0.0
biggM:M_ptvstgluc	MNXM744866	O=C(CC(O)CC(O)/C=C/C1=C(C2=CC=C(F)C=C2)C2=CC=CC=C2N=C1C1CC1)OC1OC(C(=O)O[Ca]OC(=O)C2OC(OC(=O)CC(O)CC(O)/C=C/C3=C(C4=CC=C(F)C=C4)C4=CC=CC=C4N=C3C3CC3)C(O)C(O)C2O)C(O)C(O)C1O	C62H62CaF2N2O20	0.0
biggM:ptvstgluc	MNXM744866	O=C(CC(O)CC(O)/C=C/C1=C(C2=CC=C(F)C=C2)C2=CC=CC=C2N=C1C1CC1)OC1OC(C(=O)O[Ca]OC(=O)C2OC(OC(=O)CC(O)CC(O)/C=C/C3=C(C4=CC=C(F)C=C4)C4=CC=CC=C4N=C3C3CC3)C(O)C(O)C2O)C(O)C(O)C1O	C62H62CaF2N2O20	0.0
ptvstlac	MNXM744867	O=C1CC([O-])CC(/C=C/C2=C(C3=CC=C(F)C=C3)C3=CC=CC=C3N=C2C2CC2)O1.O=C1CC([O-])CC(/C=C/C2=C(C3=CC=C(F)C=C3)C3=CC=CC=C3N=C2C2CC2)O1.[Ca+2]	C50H42CaF2N2O6	0.0
biggM:M_ptvstlac	MNXM744867	O=C1CC([O-])CC(/C=C/C2=C(C3=CC=C(F)C=C3)C3=CC=CC=C3N=C2C2CC2)O1.O=C1CC([O-])CC(/C=C/C2=C(C3=CC=C(F)C=C3)C3=CC=CC=C3N=C2C2CC2)O1.[Ca+2]	C50H42CaF2N2O6	0.0
biggM:ptvstlac	MNXM744867	O=C1CC([O-])CC(/C=C/C2=C(C3=CC=C(F)C=C3)C3=CC=CC=C3N=C2C2CC2)O1.O=C1CC([O-])CC(/C=C/C2=C(C3=CC=C(F)C=C3)C3=CC=CC=C3N=C2C2CC2)O1.[Ca+2]	C50H42CaF2N2O6	0.0
ptvstm13	MNXM744868	O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C(O)=CC=CC2=C1C1=CC=C(F)C=C1.O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C(O)=CC=CC2=C1C1=CC=C(F)C=C1.[Ca+2]	C50H46CaF2N2O10	0.0
biggM:M_ptvstm13	MNXM744868	O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C(O)=CC=CC2=C1C1=CC=C(F)C=C1.O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C(O)=CC=CC2=C1C1=CC=C(F)C=C1.[Ca+2]	C50H46CaF2N2O10	0.0
biggM:ptvstm13	MNXM744868	O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C(O)=CC=CC2=C1C1=CC=C(F)C=C1.O=C([O-])CC(O)CC(O)/C=C/C1=C(C2CC2)N=C2C(O)=CC=CC2=C1C1=CC=C(F)C=C1.[Ca+2]	C50H46CaF2N2O10	0.0
ptvstm3	MNXM744869	O=C([O-])CC(O)CC(=O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.O=C([O-])CC(O)CC(=O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.[Ca+2]	C50H42CaF2N2O8	0.0
biggM:M_ptvstm3	MNXM744869	O=C([O-])CC(O)CC(=O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.O=C([O-])CC(O)CC(=O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.[Ca+2]	C50H42CaF2N2O8	0.0
biggM:ptvstm3	MNXM744869	O=C([O-])CC(O)CC(=O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.O=C([O-])CC(O)CC(=O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1.[Ca+2]	C50H42CaF2N2O8	0.0
pvsgluc	MNXM744871	CCC(C)C(=O)OC1CC(OC2OC(C(=O)O)C(O)C(O)C2O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O[Na])C21	C29H43NaO13	0.0
biggM:M_pvsgluc	MNXM744871	CCC(C)C(=O)OC1CC(OC2OC(C(=O)O)C(O)C(O)C2O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O[Na])C21	C29H43NaO13	0.0
biggM:pvsgluc	MNXM744871	CCC(C)C(=O)OC1CC(OC2OC(C(=O)O)C(O)C(O)C2O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O[Na])C21	C29H43NaO13	0.0
rbt5p	MNXM744872	O=P([O-])(O)OCC(O)C(O)C(O)CO	C5H12O8P	-1.0
