bigg_id	name	reaction_string	model_list	database_links	old_bigg_ids
DM_4crsol_c	Sink needed to allow p-Cresol to leave system	4crsol_c <-> 	iJO1366; iY75_1357; iEC042_1314; iML1515; iBWG_1329; iEcolC_1368; iECABU_c1320; iECIAI39_1322; iECB_1328; iECUMN_1333; iECBD_1354; iECW_1372; iB21_1397; iEcHS_1320; iECD_1391; iEKO11_1354; iEcDH1_1363; iECS88_1305; iECDH1ME8569_1439; iECH74115_1262; iAPECO1_1312; iECNA114_1301; ic_1306; iECSF_1327; iSF_1195; iEcSMS35_1347; iEC55989_1330; iECIAI1_1343; iE2348C_1286; iECO103_1326; iSbBS512_1146; iECED1_1282; iUMNK88_1353; iECO26_1355; iZ_1308; iETEC_1333; iWFL_1372; iECOK1_1307; iSBO_1134; iECP_1309; iSSON_1240; iECSP_1301; iSFxv_1172; iECO111_1330; iS_1188; iEcE24377_1341; iUMN146_1321; iECs_1301; iNRG857_1313; iG2583_1286; iUTI89_1310; iECSE_1348; iSFV_1184; iECDH10B_1368; iLF82_1304; iSDY_1059	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR97539	DM_4CRSOL; DM_4crsol_c
DM_amob_c	Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system	amob_c <-> 	iECABU_c1320; iUTI89_1310; iJO1366; iSDY_1059; iEC042_1314; iSSON_1240; iECB_1328; iSFxv_1172; iECBD_1354; iSbBS512_1146; iBWG_1329; iSBO_1134; iIT341; iLF82_1304; iECD_1391; iZ_1308; iEcDH1_1363; iWFL_1372; iB21_1397; iUMNK88_1353; iECDH1ME8569_1439; iS_1188; ic_1306; iSFV_1184; iAPECO1_1312; iNRG857_1313; iSF_1195; iUMN146_1321; iEC55989_1330; iEcE24377_1341; iE2348C_1286; iEKO11_1354; iY75_1357; iECO103_1326; iML1515; iECNA114_1301; iAF987; iECED1_1282; iJB785; iEcHS_1320; iECs_1301; iECS88_1305; iECO26_1355; iETEC_1333; iECUMN_1333; iECP_1309; iEcSMS35_1347; iECSP_1301; iECW_1372; iEcolC_1368; iECH74115_1262; iECSE_1348; iECSF_1327; iECOK1_1307; iG2583_1286; iECIAI39_1322; iECO111_1330; iECIAI1_1343; iECDH10B_1368	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR97556	DM_AMOB; DM_amob_c; sink_amob
EX_23dappa_e	2,3-diaminopropionate exchange	23dappa_e <-> 	iECO26_1355; iECABU_c1320; iECP_1309; iJO1366; iEcHS_1320; iEC042_1314; iG2583_1286; iECB_1328; iECs_1301; iBWG_1329; iEcE24377_1341; iECBD_1354; iECED1_1282; iECD_1391; iECSE_1348; iB21_1397; iECSF_1327; iEcDH1_1363; iECSP_1301; iECDH1ME8569_1439; iECDH10B_1368; iAF1260; iEcolC_1368; ic_1306; iEKO11_1354; iPC815; iECS88_1305; iAPECO1_1312; iECW_1372; iSF_1195; iECOK1_1307; iEC55989_1330; iECUMN_1333; iE2348C_1286; iECNA114_1301; iY75_1357; iEcSMS35_1347; iAF1260b; iECO111_1330; iML1515; iECH74115_1262; STM_v1_0; iECIAI1_1343; iZ_1308; iECIAI39_1322; iSFV_1184; iETEC_1333; iSFxv_1172; iECO103_1326; iLF82_1304; iNRG857_1313; iUMN146_1321; iUTI89_1310; iUMNK88_1353; iSBO_1134; iYL1228; iSDY_1059; iSSON_1240; iS_1188; iWFL_1372; iSbBS512_1146	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98003	EX_23dappa_LPAREN_e_RPAREN_; EX_23dappa_e
EX_3ump_e	3'-UMP exchange	3ump_e <-> 	iECABU_c1320; iSFxv_1172; iEC042_1314; iSSON_1240; iECB_1328; iWFL_1372; iBWG_1329; iZ_1308; iECBD_1354; iUMN146_1321; iECD_1391; iUMNK88_1353; iB21_1397; iSBO_1134; iEcDH1_1363; iYL1228; iECDH1ME8569_1439; iSbBS512_1146; iAF1260; iSDY_1059; ic_1306; iSFV_1184; iJO1366; iLF82_1304; iE2348C_1286; iUTI89_1310; iAPECO1_1312; iS_1188; iPC815; iNRG857_1313; iSF_1195; STM_v1_0; iEC55989_1330; iECOK1_1307; iCHOv1; iECED1_1282; iY75_1357; iG2583_1286; iYO844; iECP_1309; iML1515; iECO103_1326; iAF1260b; iECs_1301; iECSE_1348; iETEC_1333; iECSP_1301; iECH74115_1262; iECUMN_1333; iECIAI1_1343; iECO26_1355; iECIAI39_1322; iEcolC_1368; iEKO11_1354; iEcHS_1320; iEcSMS35_1347; iECW_1372; iECSF_1327; iECDH10B_1368; iECS88_1305; iEcE24377_1341; iECNA114_1301; iECO111_1330	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98057	EX_3ump_LPAREN_e_RPAREN_; EX_3ump_e; EX_3ump_e_
EX_acgal1p_e	N-Acetyl-D-galactosamine 1-phosphate exchange	acgal1p_e <-> 	iML1515; iEcolC_1368; iAF1260b; iECH74115_1262; iY75_1357; iECW_1372; iUMNK88_1353; iECSF_1327; iLF82_1304; iECOK1_1307; iUMN146_1321; iECSP_1301; iSFxv_1172; iG2583_1286; iSFV_1184; iECDH10B_1368; iSbBS512_1146; iECNA114_1301; iSSON_1240; iECP_1309; iYL1228; iECO26_1355; iSBO_1134; iEKO11_1354; iZ_1308; iETEC_1333; iNRG857_1313; iECED1_1282; iS_1188; iEcHS_1320; iWFL_1372; iECS88_1305; iSDY_1059; iECSE_1348; iUTI89_1310; iECO103_1326; STM_v1_0; iECO111_1330; iECABU_c1320; iECIAI39_1322; iEC042_1314; iECIAI1_1343; iECB_1328; iECUMN_1333; iBWG_1329; iEcSMS35_1347; iECBD_1354; iECs_1301; iJO1366; iEcE24377_1341; iECD_1391; iB21_1397; iEcDH1_1363; iECDH1ME8569_1439; ic_1306; iAF1260; iE2348C_1286; iAPECO1_1312; iPC815; iEC55989_1330; iSF_1195	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98201	EX_acgal1p_LPAREN_e_RPAREN_; EX_acgal1p_e
EX_acmana_e	N-Acetyl-D-mannosamine exchange	acmana_e <-> 	iNF517; iEcSMS35_1347; iY75_1357; iECED1_1282; iAF1260b; iG2583_1286; iML1515; iEcE24377_1341; iCHOv1; iECSP_1301; iYO844; iETEC_1333; iSBO_1134; iECW_1372; iUTI89_1310; iEcolC_1368; iLF82_1304; iEcHS_1320; iUMNK88_1353; iECUMN_1333; iSSON_1240; iECP_1309; STM_v1_0; iEKO11_1354; iNRG857_1313; iECNA114_1301; iWFL_1372; iECO26_1355; iJR904; iECSE_1348; iS_1188; iECSF_1327; iSFxv_1172; iECs_1301; iYL1228; iECIAI39_1322; iSFV_1184; iECS88_1305; iUMN146_1321; iECIAI1_1343; iSDY_1059; iECO111_1330; iSbBS512_1146; iECH74115_1262; iZ_1308; iECOK1_1307; iECABU_c1320; iECDH10B_1368; iEC042_1314; iECO103_1326; iECB_1328; iBWG_1329; iECBD_1354; iECD_1391; iJO1366; iEcDH1_1363; iB21_1397; iECDH1ME8569_1439; ic_1306; iAF1260; iE2348C_1286; iAPECO1_1312; iPC815; iEC55989_1330; iSF_1195	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98210	EX_acmana_LPAREN_e_RPAREN_; EX_acmana_e; EX_acmana_e_
EX_ag_e	Silver exchange	ag_e <-> 	iECS88_1305; iECABU_c1320; iEcSMS35_1347; iEC042_1314; iECH74115_1262; iECB_1328; iEKO11_1354; iBWG_1329; iECIAI1_1343; iECBD_1354; iECUMN_1333; iECD_1391; iEcHS_1320; ic_1306; iECNA114_1301; iB21_1397; iECO26_1355; iEcDH1_1363; iECP_1309; iECDH1ME8569_1439; iECSE_1348; iJO1366; iEcolC_1368; iAF1260; iECW_1372; iE2348C_1286; iECSP_1301; iAPECO1_1312; iECSF_1327; iEC55989_1330; iECDH10B_1368; iSF_1195; iECO103_1326; iSFxv_1172; iETEC_1333; iUMN146_1321; iECOK1_1307; iLF82_1304; iECED1_1282; iSbBS512_1146; iG2583_1286; iYL1228; iECO111_1330; iNRG857_1313; iECIAI39_1322; iUTI89_1310; iECs_1301; iWFL_1372; iEcE24377_1341; iS_1188; iAF1260b; iSSON_1240; iY75_1357; iSDY_1059; iML1515; STM_v1_0; iZ_1308; iSFV_1184; iUMNK88_1353; iSBO_1134	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98238	EX_ag_LPAREN_e_RPAREN_; EX_ag_e
EX_alaala_e	D-Alanyl-D-alanine exchange	alaala_e <-> 	iY75_1357; iECOK1_1307; iYO844; iECSF_1327; iML1515; iEKO11_1354; iHN637; iEcE24377_1341; iCHOv1; iG2583_1286; iAF1260b; iECIAI1_1343; iZ_1308; iECDH10B_1368; iSBO_1134; iECP_1309; iWFL_1372; iECUMN_1333; iSFV_1184; iEcSMS35_1347; STM_v1_0; iECs_1301; iS_1188; iECIAI39_1322; iSSON_1240; iECED1_1282; iNRG857_1313; iEcolC_1368; iYL1228; iECSE_1348; iSbBS512_1146; iECS88_1305; iUMN146_1321; iEcHS_1320; iSFxv_1172; iECO111_1330; iUTI89_1310; iECO26_1355; iSDY_1059; iECH74115_1262; iLF82_1304; iETEC_1333; iUMNK88_1353; iECW_1372; iECABU_c1320; iECSP_1301; iEC042_1314; iECNA114_1301; iECB_1328; iECO103_1326; iBWG_1329; iECBD_1354; iECD_1391; ic_1306; iB21_1397; iEcDH1_1363; iECDH1ME8569_1439; iAF1260; iE2348C_1286; iAPECO1_1312; iPC815; iJO1366; iEC55989_1330; iSF_1195	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98257	EX_alaala(e); EX_alaala_LPAREN_e_RPAREN_; EX_alaala_e; EX_alaala_e_
EX_anhgm_e	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange	anhgm_e <-> 	iY75_1357; iLF82_1304; iML1515; iZ_1308; iAF1260b; iWFL_1372; iECABU_c1320; iSDY_1059; iEC042_1314; iSFV_1184; iECB_1328; iUMNK88_1353; iBWG_1329; iUTI89_1310; iECBD_1354; iYL1228; iECD_1391; iSBO_1134; ic_1306; iNRG857_1313; iB21_1397; iS_1188; iEcDH1_1363; iSSON_1240; iECDH1ME8569_1439; iSFxv_1172; iAF1260; iSbBS512_1146; iE2348C_1286; STM_v1_0; iPC815; iUMN146_1321; iAPECO1_1312; iECS88_1305; iEC55989_1330; iECO103_1326; iSF_1195; iECO26_1355; iJO1366; iECO111_1330; iECH74115_1262; iEcHS_1320; iECOK1_1307; iECIAI1_1343; iG2583_1286; iECP_1309; iEKO11_1354; iECNA114_1301; iEcolC_1368; iECIAI39_1322; iECSP_1301; iECDH10B_1368; iEcSMS35_1347; iECSE_1348; iECED1_1282; iEcE24377_1341; iECs_1301; iETEC_1333; iECW_1372; iECSF_1327; iECUMN_1333	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98269	EX_anhgm_LPAREN_e_RPAREN_; EX_anhgm_e
EX_arab__L_e	L-Arabinose exchange	arab__L_e <-> 	iY75_1357; iECIAI39_1322; iML1515; iECIAI1_1343; iLJ478; iECUMN_1333; iMM1415; iECO103_1326; RECON1; iECDH10B_1368; iYO844; iECW_1372; iHN637; iECOK1_1307; iCHOv1; iECO26_1355; iAF1260b; iETEC_1333; iECABU_c1320; iEKO11_1354; iEC042_1314; iECSE_1348; iECB_1328; iECP_1309; iNJ661; iECs_1301; iBWG_1329; iECS88_1305; iECBD_1354; iECNA114_1301; iECD_1391; iECO111_1330; iMM904; iECSP_1301; ic_1306; iECED1_1282; iB21_1397; iEcolC_1368; iEcDH1_1363; iEcSMS35_1347; iND750; iEcE24377_1341; iECDH1ME8569_1439; iECH74115_1262; iAF1260; iECSF_1327; iE2348C_1286; iG2583_1286; iPC815; iEcHS_1320; iAPECO1_1312; iUTI89_1310; iEC55989_1330; iLF82_1304; iSF_1195; iUMNK88_1353; iJO1366; iS_1188; iSFxv_1172; iWFL_1372; iSFV_1184; iSbBS512_1146; iSDY_1059; iZ_1308; iUMN146_1321; STM_v1_0; iSSON_1240; iSBO_1134; iJR904; iYL1228; iNRG857_1313	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98278	EX_arab-L(e); EX_arab_DASH_L_LPAREN_e_RPAREN_; EX_arab_L(e); EX_arab_L_LPAREN_e_RPAREN_; EX_arab_L_e; EX_arab_L_e_; EX_arab__L_e
EX_asn__L_e	L-Asparagine exchange	asn__L_e <-> 	iAF1260b; iECABU_c1320; iYO844; iJO1366; iHN637; iEC042_1314; iMM1415; iIT341; RECON1; iECB_1328; iCHOv1; iNJ661; iY75_1357; iBWG_1329; iNF517; iECBD_1354; iML1515; iECD_1391; iAT_PLT_636; iMM904; iECs_1301; iB21_1397; iECSF_1327; iEcDH1_1363; iEcSMS35_1347; iND750; iECUMN_1333; iECDH1ME8569_1439; iG2583_1286; ic_1306; iECH74115_1262; iAF1260; iECS88_1305; iPC815; iECO26_1355; iE2348C_1286; iEcHS_1320; iAPECO1_1312; iEcolC_1368; iEC55989_1330; iECO111_1330; iSF_1195; iECSE_1348; iS_1188; iECIAI1_1343; iSbBS512_1146; iEKO11_1354; iWFL_1372; iETEC_1333; iZ_1308; iECO103_1326; iUMN146_1321; iECIAI39_1322; iJR904; iEcE24377_1341; iNRG857_1313; iECSP_1301; iSBO_1134; iECP_1309; iSSON_1240; iECED1_1282; iUTI89_1310; iECOK1_1307; iSFxv_1172; iECNA114_1301; iLF82_1304; iECDH10B_1368; iSFV_1184; iECW_1372; iYL1228; iSDY_1059; STM_v1_0; iUMNK88_1353	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98292	EX_asn-L(e); EX_asn_DASH_L_LPAREN_e_RPAREN_; EX_asn_L_LPAREN_e_RPAREN_; EX_asn_L_e; EX_asn_L_e_; EX_asn__L_e
EX_asp__L_e	L-Aspartate exchange	asp__L_e <-> 	iY75_1357; iECABU_c1320; iCHOv1; iJN746; iNF517; iJO1366; iYO844; iEC042_1314; iML1515; iIT341; iAT_PLT_636; iECB_1328; iHN637; iNJ661; iAF1260b; iBWG_1329; iMM1415; iECBD_1354; RECON1; iECD_1391; iECW_1372; iMM904; iECIAI39_1322; iB21_1397; iECSE_1348; iEcDH1_1363; iEcolC_1368; iND750; iECUMN_1333; iECDH1ME8569_1439; iECs_1301; ic_1306; iECSP_1301; iAF1260; iECP_1309; iSB619; iECSF_1327; iPC815; iEcSMS35_1347; iE2348C_1286; iETEC_1333; iAPECO1_1312; iECDH10B_1368; iEC55989_1330; iECO103_1326; iSF_1195; iECH74115_1262; iYL1228; iEcHS_1320; iUMNK88_1353; iG2583_1286; iS_1188; iECO26_1355; iSSON_1240; iECED1_1282; iSbBS512_1146; iECS88_1305; iSDY_1059; iECOK1_1307; iZ_1308; iECIAI1_1343; iSFxv_1172; iECNA114_1301; iUMN146_1321; iEKO11_1354; iNRG857_1313; iEcE24377_1341; iSBO_1134; iECO111_1330; STM_v1_0; iJR904; iSFV_1184; iUTI89_1310; iLF82_1304; iWFL_1372	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98131	EX_asp-L(e); EX_asp_DASH_L_LPAREN_e_RPAREN_; EX_asp_L_LPAREN_e_RPAREN_; EX_asp_L_e; EX_asp_L_e_; EX_asp__L_e
EX_btn_e	Biotin exchange	btn_e <-> 	iML1515; iSBO_1134; iHN637; iUMN146_1321; iLB1027_lipid; iSFV_1184; iAF692; iWFL_1372; iY75_1357; iUMNK88_1353; iMM1415; iNRG857_1313; iCHOv1; iSbBS512_1146; RECON1; iLF82_1304; iECS88_1305; iSDY_1059; iECIAI39_1322; iZ_1308; iECUMN_1333; iUTI89_1310; iECO26_1355; iSSON_1240; iECDH10B_1368; iSFxv_1172; iETEC_1333; iS_1188; iECH74115_1262; iECABU_c1320; iECO103_1326; iEC042_1314; iG2583_1286; iJO1366; iEcHS_1320; iECB_1328; iEcE24377_1341; iBWG_1329; iECs_1301; iECBD_1354; iECSF_1327; iECD_1391; iECED1_1282; iMM904; iECSP_1301; iB21_1397; iEcSMS35_1347; iEcDH1_1363; iECOK1_1307; iND750; iEKO11_1354; iECDH1ME8569_1439; iECP_1309; ic_1306; iEcolC_1368; iSB619; iECO111_1330; iE2348C_1286; iECIAI1_1343; iAPECO1_1312; iECW_1372; iEC55989_1330; iECSE_1348; iSF_1195; iECNA114_1301	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98304	EX_biotin_e; EX_btn(e); EX_btn_LPAREN_e_RPAREN_; EX_btn_e; EX_btn_e_
EX_co2_e	CO2 exchange	co2_e <-> 	iUMN146_1321; iECIAI1_1343; e_coli_core; iECOK1_1307; iSFxv_1172; iEKO11_1354; iS_1188; iECIAI39_1322; iUTI89_1310; iEcSMS35_1347; iSSON_1240; iECNA114_1301; iZ_1308; iETEC_1333; iWFL_1372; iECED1_1282; iUMNK88_1353; iECs_1301; STM_v1_0; iECH74115_1262; iJR904; iECO26_1355; iLF82_1304; iG2583_1286; iSbBS512_1146; iECP_1309; iSDY_1059; iEcHS_1320; iSFV_1184; iECS88_1305; iSBO_1134; iECSF_1327; iYL1228; iECO111_1330; iNRG857_1313; iECW_1372; RECON1; iECSP_1301; iRC1080; iEcE24377_1341; iJB785; iECO103_1326; iAT_PLT_636; iECUMN_1333; iYO844; iEcolC_1368; iMM1415; iECSE_1348; iY75_1357; iJN746; iNF517; iEC042_1314; iAF987; iIT341; iLJ478; iECB_1328; iHN637; iNJ661; iJN678; iBWG_1329; iML1515; iECBD_1354; iLB1027_lipid; iECABU_c1320; iAB_RBC_283; iECD_1391; iAF1260b; iJO1366; iAF692; iMM904; iCHOv1; iB21_1397; iEcDH1_1363; iND750; iECDH1ME8569_1439; iECDH10B_1368; ic_1306; iAF1260; iSB619; iPC815; iE2348C_1286; iAPECO1_1312; iEC55989_1330; iSF_1195	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98353	EX_co2(e); EX_co2_LPAREN_e_RPAREN_; EX_co2_e; EX_co2_e_
EX_cpgn_e	Coprogen exchange	cpgn_e <-> 	iY75_1357; iECSF_1327; iML1515; iEcolC_1368; iAF1260b; iECOK1_1307; iUMN146_1321; iEcSMS35_1347; iUMNK88_1353; iECIAI1_1343; iZ_1308; iECs_1301; iSbBS512_1146; iECUMN_1333; iSFV_1184; iEcE24377_1341; iSFxv_1172; iECO103_1326; STM_v1_0; iECIAI39_1322; iS_1188; iETEC_1333; iSSON_1240; iECED1_1282; iSDY_1059; iECH74115_1262; iLF82_1304; iECO26_1355; iNRG857_1313; iECW_1372; iUTI89_1310; iECSP_1301; iWFL_1372; iECNA114_1301; iSBO_1134; iG2583_1286; iECB_1328; iECSE_1348; iEC042_1314; iECO111_1330; iBWG_1329; iECS88_1305; iECBD_1354; iEKO11_1354; iECD_1391; iEcHS_1320; iJO1366; iECP_1309; iEcDH1_1363; iB21_1397; iECDH1ME8569_1439; iECDH10B_1368; ic_1306; iECABU_c1320; iAF1260; iPC815; iE2348C_1286; iAPECO1_1312; iEC55989_1330; iSF_1195	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98363	EX_cpgn_LPAREN_e_RPAREN_; EX_cpgn_e
EX_cpgn_un_e	Coprogen unloaded (no Fe(III)) exchange	cpgn_un_e <-> 	iY75_1357; iEC042_1314; iML1515; iECB_1328; iAF1260b; iBWG_1329; iECSE_1348; iECBD_1354; iECP_1309; iECD_1391; iECUMN_1333; iEcDH1_1363; iECO26_1355; iB21_1397; iECDH10B_1368; iJO1366; iECOK1_1307; iECDH1ME8569_1439; iECSF_1327; ic_1306; iECs_1301; iECABU_c1320; iECIAI39_1322; iAF1260; iECIAI1_1343; iE2348C_1286; iECNA114_1301; iAPECO1_1312; iEKO11_1354; iEC55989_1330; iECO111_1330; iSF_1195; iECS88_1305; iNRG857_1313; iECED1_1282; iSFV_1184; iECSP_1301; iSbBS512_1146; iECO103_1326; iZ_1308; iECW_1372; iWFL_1372; iEcE24377_1341; STM_v1_0; iEcolC_1368; iSFxv_1172; iG2583_1286; iSSON_1240; iECH74115_1262; iSBO_1134; iETEC_1333; iUMNK88_1353; iEcHS_1320; iS_1188; iEcSMS35_1347; iLF82_1304; iUTI89_1310; iUMN146_1321; iSDY_1059	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98364	EX_cpgn_DASH_un_LPAREN_e_RPAREN_; EX_cpgn__un_e; EX_cpgn_un_LPAREN_e_RPAREN_; EX_cpgn_un_e
EX_cu_e	Cu+ exchange	cu_e <-> 	iML1515; iEC042_1314; iAF1260b; iECB_1328; iY75_1357; iBWG_1329; iAF987; iECBD_1354; iSbBS512_1146; iECD_1391; iSDY_1059; iEcDH1_1363; iLF82_1304; iB21_1397; iUMNK88_1353; iJO1366; iS_1188; iECDH1ME8569_1439; iUMN146_1321; ic_1306; iNRG857_1313; iAF1260; STM_v1_0; iECABU_c1320; iSFxv_1172; iPC815; iUTI89_1310; iE2348C_1286; iSFV_1184; iEC55989_1330; iSSON_1240; iAPECO1_1312; iWFL_1372; iSF_1195; iYL1228; iEKO11_1354; iZ_1308; iECIAI39_1322; iSBO_1134; iEcSMS35_1347; iECO103_1326; iECED1_1282; iECOK1_1307; iECSF_1327; iECH74115_1262; iEcE24377_1341; iG2583_1286; iECs_1301; iECSP_1301; iEcHS_1320; iECO26_1355; iECUMN_1333; iEcolC_1368; iECS88_1305; iECSE_1348; iECIAI1_1343; iECO111_1330; iETEC_1333; iECW_1372; iECNA114_1301; iECP_1309; iECDH10B_1368	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98385	EX_cu_LPAREN_e_RPAREN_; EX_cu_e
EX_cu2_e	Cu2+ exchange	cu2_e <-> 	iYL1228; iECS88_1305; iUTI89_1310; iEKO11_1354; iSBO_1134; iECNA114_1301; iNRG857_1313; iECIAI1_1343; iUMN146_1321; iG2583_1286; STM_v1_0; iECSF_1327; iS_1188; iEcolC_1368; iLF82_1304; iECs_1301; iSFxv_1172; iEcE24377_1341; iSbBS512_1146; iECOK1_1307; iSFV_1184; iECIAI39_1322; iSDY_1059; iECO26_1355; iUMNK88_1353; iECSE_1348; iZ_1308; iECO111_1330; iWFL_1372; iECED1_1282; iSSON_1240; iECUMN_1333; iAF692; iECW_1372; iAF1260b; iEcHS_1320; iY75_1357; iECO103_1326; iJB785; iEcSMS35_1347; iJN678; iECH74115_1262; iHN637; iECDH10B_1368; iAF987; iECSP_1301; iML1515; iETEC_1333; iYO844; iECP_1309; iEC042_1314; iECB_1328; iNJ661; iBWG_1329; iECBD_1354; iECD_1391; iEcDH1_1363; iB21_1397; iJO1366; iECDH1ME8569_1439; ic_1306; iAF1260; iSB619; iECABU_c1320; iPC815; iE2348C_1286; iEC55989_1330; iAPECO1_1312; iSF_1195	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98384	EX_cu2(e); EX_cu2_LPAREN_e_RPAREN_; EX_cu2_e; EX_cu2_e_
EX_cys__D_e	D-Cysteine exchange	cys__D_e <-> 	iY75_1357; iECSP_1301; iML1515; iECW_1372; iAF1260b; iECs_1301; iYO844; iECED1_1282; iEC042_1314; iEcolC_1368; iECB_1328; iECP_1309; iBWG_1329; iECOK1_1307; iECBD_1354; iEcE24377_1341; iECD_1391; iEcHS_1320; iEcDH1_1363; iG2583_1286; iB21_1397; iEcSMS35_1347; iECDH1ME8569_1439; iECO111_1330; iJO1366; iECSF_1327; ic_1306; iEKO11_1354; iAF1260; iECSE_1348; iPC815; iECH74115_1262; iE2348C_1286; iETEC_1333; iEC55989_1330; iECIAI39_1322; iAPECO1_1312; iECDH10B_1368; iSF_1195; iECIAI1_1343; iECABU_c1320; iECO26_1355; iSSON_1240; iECUMN_1333; iSDY_1059; iECNA114_1301; iSBO_1134; iECO103_1326; iUMN146_1321; iECS88_1305; iUMNK88_1353; iNRG857_1313; STM_v1_0; iZ_1308; iSbBS512_1146; iWFL_1372; iSFxv_1172; iS_1188; iLF82_1304; iUTI89_1310; iYL1228; iSFV_1184	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98388	EX_cys_DASH_D_LPAREN_e_RPAREN_; EX_cys_D_LPAREN_e_RPAREN_; EX_cys_D_e; EX_cys_D_e_; EX_cys__D_e
EX_cys__L_e	L-Cysteine exchange	cys__L_e <-> 	iAB_RBC_283; iSDY_1059; iAT_PLT_636; iSFV_1184; RECON1; iNRG857_1313; iHN637; iYL1228; iCHOv1; iSFxv_1172; iYO844; iLF82_1304; iML1515; iSBO_1134; iAF1260b; iUTI89_1310; iY75_1357; iUMN146_1321; iMM1415; iSSON_1240; iAF692; STM_v1_0; iNF517; iS_1188; iG2583_1286; iSbBS512_1146; iECO111_1330; iZ_1308; iECP_1309; iUMNK88_1353; iECED1_1282; iJR904; iEcSMS35_1347; iWFL_1372; iECS88_1305; iJN746; iECSE_1348; iEC042_1314; iECDH10B_1368; iIT341; iECW_1372; iECB_1328; iECSF_1327; iBWG_1329; iECOK1_1307; iECBD_1354; iECH74115_1262; iECD_1391; iEcolC_1368; iMM904; iECIAI1_1343; iEcDH1_1363; iETEC_1333; iB21_1397; iEcHS_1320; iND750; iECUMN_1333; iECDH1ME8569_1439; iECO103_1326; iJO1366; iECO26_1355; ic_1306; iECNA114_1301; iSB619; iECIAI39_1322; iAF1260; iECs_1301; iPC815; iECSP_1301; iE2348C_1286; iEcE24377_1341; iEC55989_1330; iEKO11_1354; iAPECO1_1312; iSF_1195; iECABU_c1320	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98389	EX_cys-L(e); EX_cys_DASH_L_LPAREN_e_RPAREN_; EX_cys_L_LPAREN_e_RPAREN_; EX_cys_L_e; EX_cys_L_e_; EX_cys__L_e
EX_cytd_e	Cytidine exchange	cytd_e <-> 	iECS88_1305; iEC042_1314; iECSE_1348; iIT341; iECSF_1327; iECB_1328; iEcE24377_1341; iNJ661; iECUMN_1333; iBWG_1329; iECDH10B_1368; iECBD_1354; iEcolC_1368; iECD_1391; iECNA114_1301; iMM904; iECO103_1326; iEcDH1_1363; iG2583_1286; iB21_1397; iECSP_1301; iND750; iECW_1372; iECDH1ME8569_1439; iETEC_1333; iJO1366; iECO26_1355; ic_1306; iECP_1309; iSB619; iECIAI39_1322; iAF1260; iECOK1_1307; iPC815; iECH74115_1262; iE2348C_1286; iEKO11_1354; iEC55989_1330; iECED1_1282; iAPECO1_1312; iEcSMS35_1347; iSF_1195; iECO111_1330; iECABU_c1320; iEcHS_1320; RECON1; iECs_1301; iML1515; iECIAI1_1343; iY75_1357; iS_1188; iYO844; iSBO_1134; iAT_PLT_636; iSbBS512_1146; iAF1260b; iYL1228; iMM1415; iWFL_1372; iCHOv1; iSFxv_1172; iNRG857_1313; iSSON_1240; iUMNK88_1353; STM_v1_0; iUMN146_1321; iSFV_1184; iUTI89_1310; iLF82_1304; iJR904; iSDY_1059; iZ_1308	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR98392	EX_cytd_LPAREN_e_RPAREN_; EX_cytd_e; EX_cytd_e_
