bigg_id	name	reaction_string	model_list	database_links	old_bigg_ids
2MPPALt	2 methylpropanal transport  extracellular 	2mppal_c <-> 2mppal_e	iMM904	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94812	2MPPALt
2MPPALtm	2 methylpropanal transport  mitochondrial 	2mppal_c <-> 2mppal_m	iMM904	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94812	2MPPALtm
34HPLFM	3  4 hydroxyphenyl  lactate formation	34hpp_m + h_m + nadh_m <-> 34hpl_m + nad_m	iMM1415; iMM904; iCHOv1; RECON1; iLB1027_lipid	EC Number: http://identifiers.org/ec-code/1.1.1.222; RHEA: http://identifiers.org/rhea/23367; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94842; BioCyc: http://identifiers.org/biocyc/META:HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN; KEGG Reaction: http://identifiers.org/kegg.reaction/R03336	34HPLFM; HPPOXR_m
34HPPt2m	3  4 hydroxyphenyl pyruvate mitochondrial transport via proton symport	34hpp_c + h_c <-> 34hpp_m + h_m	iMM904; iRC1080; iND750; iLB1027_lipid	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94845	34HPPt2_m; 34HPPt2m
3C4MOPtm	3 Carboxy 4 methyl 2 oxopentanoate transport  diffusion  mitochondrial	3c4mop_c <-> 3c4mop_m	iLB1027_lipid; iMM904; iND750	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94859	3C4MOPt_m; 3C4MOPtm
3DH5HPBMTm	S adenosyl L methionine3 hexaprenyl 4 5 dihydroxylate O methyltransferase  mitochondrial	3dh5hpb_m + amet_m <-> 3hph5mb_m + ahcys_m + h_m	iMM904	RHEA: http://identifiers.org/rhea/14124; BioCyc: http://identifiers.org/biocyc/META:2.1.1.114-RXN; EC Number: http://identifiers.org/ec-code/2.1.1.114; KEGG Reaction: http://identifiers.org/kegg.reaction/R04711; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94862	3DH5HPBMTm
3HPH5MBDCm	3 Hexaprenyl 4 hydroxy 5 methoxybenzoate decarboxylase  mitochondrial	3hph5mb_m <-> 2hp6mp_m + co2_m	iMM904	EC Number: http://identifiers.org/ec-code/4.1.1; BioCyc: http://identifiers.org/biocyc/META:RXN3O-73; RHEA: http://identifiers.org/rhea/44769; KEGG Reaction: http://identifiers.org/kegg.reaction/R06866; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94901; Reactome: http://www.reactome.org/content/detail/R-ALL-REACT_R-SCE-2164816	3HPH5MBDCm
3IPM3MT	3 Isopropylmalate 3 methyltransferase	3c2hmp_c + amet_c <-> 3ipmmest_c + ahcys_c	iMM904	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94908	3IPM3MT
4ABUTNtm	4 aminobutanal mitochondrial transport via diffusion	4abutn_c <-> 4abutn_m	iND750; iMM904	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94992	4ABUTNtm
4ABZt	4 Aminobenzoate mitochondrial transport via diffusion	4abz_c <-> 4abz_e	iMM904; iNF517; STM_v1_0	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94995	4ABZt; ABZtex; PABAt
4H2OGLTtm	4 hydroxy 2 oxoglutarate mitochondrial transport via diffusion	4h2oglt_c <-> 4h2oglt_m	iMM904; iND750	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95001	4H2OGLTtm
4HBZFm	4 hydroxybenzoate formation	4hbzcoa_m + h2o_m <-> 4hbz_m + coa_m + h_m	iMM904; iMM1415; iCHOv1; RECON1; iLB1027_lipid	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95011; RHEA: http://identifiers.org/rhea/11949; BioCyc: http://identifiers.org/biocyc/META:3.1.2.23-RXN; EC Number: http://identifiers.org/ec-code/3.1.2.23; KEGG Reaction: http://identifiers.org/kegg.reaction/R01301	4HBZF_m; 4HBZFm
4HGLSDm	L 4 hydroxyglutamate semialdehyde dehydrogenase  mitochondrial	4hglusa_m + h2o_m + nad_m <-> e4hglu_m + 2.0 h_m + nadh_m	RECON1; iMM904; iMM1415; iND750; iCHOv1	RHEA: http://identifiers.org/rhea/31243; EC Number: http://identifiers.org/ec-code/1.2.1.88; BioCyc: http://identifiers.org/biocyc/META:RXN-14472; KEGG Reaction: http://identifiers.org/kegg.reaction/R05051; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95015	4HGLSDm
ABTt	L arabinitol transport via passive diffusion	abt_e <-> abt_c	iND750; iCHOv1; iMM904; iMM1415; RECON1	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95190	ABTt; ABTti
ABUTDm	Aminobutyraldehyde dehydrogenase  mitochondrial	4abutn_m + h2o_m + nad_m <-> 4abut_m + 2.0 h_m + nadh_m	iMM904; iCHOv1; iND750	EC Number: http://identifiers.org/ec-code/1.2.1.-; RHEA: http://identifiers.org/rhea/19107; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95191; BioCyc: http://identifiers.org/biocyc/META:AMINOBUTDEHYDROG-RXN; KEGG Reaction: http://identifiers.org/kegg.reaction/R02549	ABUTDm
ABUTt2r	4 aminobutyrate reversible transport in via proton symport	4abut_e + h_e <-> 4abut_c + h_c	iYO844; iMM904; iNF517; iND750; RECON1; iJR904; iMM1415; iCHOv1	RHEA: http://identifiers.org/rhea/28918; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN-57; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94994	ABUTt2; ABUTt2r; GABAt2; GABAt6
ACGKm	Acetylglutamate kinase  mitochondrial	acglu_m + atp_m <-> acg5p_m + adp_m	iND750; iMM904	EC Number: http://identifiers.org/ec-code/2.7.2.8; RHEA: http://identifiers.org/rhea/14629; BioCyc: http://identifiers.org/biocyc/META:ACETYLGLUTKIN-RXN; KEGG Reaction: http://identifiers.org/kegg.reaction/R02649; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95256	ACGKm
ACHLE1	Isoamyl acetate hydrolyzing esterase	h2o_c + iamac_c <-> ac_c + h_c + iamoh_c	iMM904	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95262	ACHLE1
ACHLE2	Isobutyl acetate hydrolyzing esterase	h2o_c + ibutac_c <-> ac_c + h_c + ibutoh_c	iMM904	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95263	ACHLE2
ACOAHim	Acetyl CoA hydrolase  mitochondrial  irreversible 	accoa_m + h2o_m <-> ac_m + coa_m + h_m	iCHOv1; iMM904	Reactome: http://www.reactome.org/content/detail/R-ALL-REACT_R-XTR-390304; RHEA: http://identifiers.org/rhea/20292; EC Number: http://identifiers.org/ec-code/3.1.2.1; BioCyc: http://identifiers.org/biocyc/META:ACETYL-COA-HYDROLASE-RXN; KEGG Reaction: http://identifiers.org/kegg.reaction/R00227; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95363	ACOAHim; r0062
ACOAO4p	Acyl CoA oxidase  decanoyl CoA   peroxisomal	dcacoa_x + o2_x <-> dc2coa_x + h2o2_x	iCHOv1; iMM904; iND750	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95364	ACOAO4p; r1445
ACOAO8p	Acyl CoA oxidase  octadecanoyl CoA   peroxisomal	o2_x + stcoa_x <-> h2o2_x + od2coa_x	iMM904; iND750	RHEA: http://identifiers.org/rhea/38974; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95368	ACOAO8p
ACONT3m	Aconitase  mitochondrial	2mcit_m <-> micit_m	iMM904	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95385	ACONT3m
